Pos,ID,Name,BV,SV,Team,30_xMins,30_Pts,31_xMins,31_Pts,32_xMins,32_Pts,33_xMins,33_Pts,34_xMins,34_Pts,35_xMins,35_Pts,36_xMins,36_Pts,37_xMins,37_Pts,38_xMins,38_Pts,Elite%
M,327,Luis Díaz,7.5,7.5,Liverpool,64,4.05,62,3.58,61,3.91,62,4.03,61,4.21,60,3.09,63,3.43,62,2.73,62,3.68,0.00
M,328,M.Salah,13.7,13.1,Liverpool,90,7.13,86,6.09,85,7.11,83,6.69,81,7.25,81,5.01,81,5.42,81,4.32,80,6.05,0.41
M,329,Mac Allister,6.2,6.2,Liverpool,79,3.39,77,3.06,74,3.37,73,3.31,74,3.37,73,2.63,73,2.96,73,2.27,73,3.14,0.00
M,330,McConnell,4.4,4.4,Liverpool,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0.00
M,331,Morton,4.4,4.4,Liverpool,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0.00
D,332,N.Phillips,4.0,4.0,Liverpool,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0.00
D,333,Quansah,3.9,3.9,Liverpool,38,1.86,35,1.39,27,1.25,24,1.14,19,0.82,13,0.45,11,0.48,11,0.33,10,0.40,0.00
D,334,R.Williams,4.0,4.0,Liverpool,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0.00
D,335,Robertson,5.8,5.8,Liverpool,72,4.37,69,3.46,66,4.00,64,3.83,63,3.44,61,2.49,61,3.17,61,2.27,60,3.26,0.00
M,336,Szoboszlai,6.4,6.4,Liverpool,79,4.50,75,3.94,73,4.30,72,4.26,72,4.42,71,3.24,70,3.52,69,2.73,70,3.77,0.00
D,337,Tsimikas,4.6,4.6,Liverpool,29,1.56,32,1.51,33,1.84,32,1.79,29,1.50,29,1.23,29,1.44,29,1.05,30,1.54,0.00
D,338,Van den Berg,4.1,4.1,Brentford,79,1.79,73,1.95,64,1.29,64,1.98,63,1.07,61,2.25,64,3.14,63,1.85,64,2.04,0.03
D,339,Virgil,6.4,6.4,Liverpool,91,4.42,88,3.39,86,4.09,83,3.99,84,3.55,84,2.66,83,3.42,82,2.33,81,3.48,0.03
D,340,Akanji,5.3,5.3,Man City,0,0.00,0,0.00,0,0.00,6,0.45,30,0.11,61,2.72,73,4.42,68,1.86,60,2.08,0.00
D,341,Aké,5.3,5.3,Man City,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,3,0.16,21,0.64,42,1.64,0.00
M,342,Bernardo,6.1,6.1,Man City,32,1.78,45,1.81,46,2.10,47,3.68,47,0.20,47,2.25,46,3.17,48,1.56,48,1.96,0.00
M,343,Bobb,4.7,4.7,Man City,2,0.19,3,0.24,6,0.47,6,0.85,6,0.04,8,0.56,8,0.83,8,0.39,8,0.50,0.00
G,344,Carson,3.9,3.9,Man City,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0.00
M,345,De Bruyne,9.3,9.3,Man City,34,2.57,34,1.94,33,2.13,35,3.90,36,0.22,35,2.50,34,3.45,35,1.73,32,1.86,0.00
M,346,Doku,6.2,6.2,Man City,64,4.03,61,2.82,58,3.06,58,5.33,56,0.27,56,3.14,56,4.47,56,2.16,57,2.68,0.00
G,347,Ederson M.,5.3,5.3,Man City,57,2.53,78,3.01,90,3.60,88,6.31,85,0.30,86,3.57,85,4.86,85,2.33,84,3.20,0.00
M,348,Foden,9.2,9.2,Man City,66,5.13,64,3.44,64,4.03,63,6.85,62,0.37,60,4.11,62,6.08,61,2.81,62,3.52,0.00
M,349,Grealish,6.4,6.4,Man City,9,0.65,10,0.54,10,0.60,11,1.19,11,0.06,12,0.77,12,1.09,12,0.52,13,0.69,0.00
D,350,Gvardiol,6.0,5.9,Man City,90,5.01,89,3.36,85,3.79,83,6.44,82,0.32,81,4.03,79,5.36,77,2.32,73,2.76,0.46
F,351,Haaland,14.8,14.7,Man City,88,8.12,86,5.38,81,5.99,78,9.82,77,0.54,77,6.23,75,8.55,75,4.08,76,4.85,0.83
F,352,J.Alvarez,7.0,7.0,Man City,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0.00
D,353,João Cancelo,5.3,5.3,Man City,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0.00
M,354,Kovačić,5.4,5.4,Man City,33,1.49,34,1.27,35,1.41,36,2.49,36,0.13,33,1.40,35,2.02,34,0.97,33,1.23,0.00
D,355,Lewis,4.3,4.3,Man City,44,2.34,49,1.81,50,2.13,49,3.66,46,0.17,42,1.98,40,2.60,37,1.08,30,1.16,0.02
M,356,Matheus N.,4.9,4.9,Man City,55,2.38,52,1.83,54,2.07,56,3.74,51,0.18,48,1.96,47,2.78,45,1.32,41,1.55,0.00
M,357,McAtee,4.6,4.6,Man City,13,1.04,16,0.95,18,1.18,18,2.10,18,0.11,20,1.41,21,2.15,20,0.97,19,1.20,0.00
G,358,Ortega Moreno,5.2,5.2,Man City,37,1.65,17,0.63,5,0.20,7,0.49,9,0.03,9,0.39,10,0.60,10,0.27,11,0.41,0.00
